Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2447039.5,1987-09-01,7,1.0199999999999999e+26,564100717.0099373,-4147512078.1892676,-1711650321.5500374,462918.2922240774,60866.44680268156,13390.936704044438,86442140.63875718
2447040.5,1987-09-02,7,1.0199999999999999e+26,564563632.2715619,-4147451189.494779,-1711636921.4320228,462912.2301950885,60910.94208283351,13409.299308021245,86442140.63875718
2447041.5,1987-09-03,7,1.0199999999999999e+26,565026541.4686673,-4147390256.305285,-1711623502.951455,462906.1631854233,60955.43681291095,13427.661810535948,86442140.63875718
2447042.5,1987-09-04,7,1.0199999999999999e+26,565489444.5962726,-4147329278.6213365,-1711610066.1084356,462900.0911951374,60999.93099245398,13446.024211398715,86442140.63875718
2447043.5,1987-09-05,7,1.0199999999999999e+26,565952341.6493973,-4147268256.443484,-1711596610.9030662,462894.0142242862,61044.42462100264,13464.386510419703,86442140.63875718
2447044.5,1987-09-06,7,1.0199999999999999e+26,566415232.623061,-4147207189.7722783,-1711583137.3354487,462887.9322729252,61088.91769809703,13482.748707409068,86442140.63875718
2447045.5,1987-09-07,7,1.0199999999999999e+26,566878117.512283,-4147146078.6082716,-1711569645.4056854,462881.8453411102,61133.41022327714,13501.110802176943,86442140.63875718
2447046.5,1987-09-08,7,1.0199999999999999e+26,567340996.312083,-4147084922.952016,-1711556135.1138785,462875.7534288969,61177.90219608302,13519.472794533469,86442140.63875718
2447047.5,1987-09-09,7,1.0199999999999999e+26,567803869.0174807,-4147023722.804064,-1711542606.4601307,462869.65653634106,61222.39361605462,13537.834684288759,86442140.63875718
2447048.5,1987-09-10,7,1.0199999999999999e+26,568266735.6234956,-4146962478.1649685,-1711529059.4445443,462863.55466349877,61266.88448273195,13556.19647125292,86442140.63875718
2447049.5,1987-09-11,7,1.0199999999999999e+26,568729596.1251476,-4146901189.035283,-1711515494.0672224,462857.447810426,61311.37479565494,13574.55815523606,86442140.63875718
2447050.5,1987-09-12,7,1.0199999999999999e+26,569192450.5174564,-4146839855.4155617,-1711501910.3282683,462851.3359771787,61355.86455436359,13592.919736048265,86442140.63875718
2447051.5,1987-09-13,7,1.0199999999999999e+26,569655298.7954419,-4146778477.3063593,-1711488308.2277849,462845.21916381334,61400.35375839772,13611.281213499624,86442140.63875718
2447052.5,1987-09-14,7,1.0199999999999999e+26,570118140.954124,-4146717054.70823,-1711474687.7658758,462839.09737038583,61444.842407297314,13629.642587400196,86442140.63875718
2447053.5,1987-09-15,7,1.0199999999999999e+26,570580976.9885226,-4146655587.62173,-1711461048.9426446,462832.97059695283,61489.33050060222,13648.003857560052,86442140.63875718
2447054.5,1987-09-16,7,1.0199999999999999e+26,571043806.8936579,-4146594076.0474143,-1711447391.7581952,462826.8388435705,61533.81803785229,13666.365023789234,86442140.63875718
2447055.5,1987-09-17,7,1.0199999999999999e+26,571506630.6645498,-4146532519.9858394,-1711433716.2126317,462820.70211029577,61578.30501858739,13684.72608589779,86442140.63875718
2447056.5,1987-09-18,7,1.0199999999999999e+26,571969448.2962186,-4146470919.4375625,-1711420022.3060582,462814.56039718486,61622.791442347334,13703.087043695748,86442140.63875718
2447057.5,1987-09-19,7,1.0199999999999999e+26,572432259.7836844,-4146409274.4031405,-1711406310.0385792,462808.4137042958,61667.277308670826,13721.447896992733,86442140.63875718
2447058.5,1987-09-20,7,1.0199999999999999e+26,572895065.1219673,-4146347584.883131,-1711392579.410299,462802.26203168434,61711.762617097556,13739.808645598689,86442140.63875718
2447059.5,1987-09-21,7,1.0199999999999999e+26,573357864.3060879,-4146285850.8780923,-1711378830.421323,462796.1053794074,61756.24736716715,13758.169289323576,86442140.63875718
2447060.5,1987-09-22,7,1.0199999999999999e+26,573820657.3310663,-4146224072.388583,-1711365063.0717556,462789.94374752237,61800.73155841913,13776.529827977309,86442140.63875718
2447061.5,1987-09-23,7,1.0199999999999999e+26,574283444.191923,-4146162249.415162,-1711351277.3617022,462783.77713608625,61845.21519039301,13794.890261369786,86442140.63875718
2447062.5,1987-09-24,7,1.0199999999999999e+26,574746224.8836787,-4146100381.958389,-1711337473.2912679,462777.6055451563,61889.69826262825,13813.25058931087,86442140.63875718
2447063.5,1987-09-25,7,1.0199999999999999e+26,575208999.4013536,-4146038470.0188236,-1711323650.8605587,462771.4289747899,61934.18077466418,13831.610811610404,86442140.63875718
2447064.5,1987-09-26,7,1.0199999999999999e+26,575671767.7399684,-4145976513.5970263,-1711309810.06968,462765.2474250445,61978.6627260401,13849.970928078192,86442140.63875718
2447065.5,1987-09-27,7,1.0199999999999999e+26,576134529.8945439,-4145914512.6935587,-1711295950.918738,462759.06089597754,62023.144116295225,13868.330938524019,86442140.63875718
2447066.5,1987-09-28,7,1.0199999999999999e+26,576597285.8601006,-4145852467.308981,-1711282073.4078383,462752.86938764685,62067.624944968746,13886.690842757635,86442140.63875718
2447067.5,1987-09-29,7,1.0199999999999999e+26,577060035.6316594,-4145790377.443856,-1711268177.537088,462746.6729001098,62112.10521159974,13905.050640588772,86442140.63875718
2447068.5,1987-09-30,7,1.0199999999999999e+26,577522779.2042412,-4145728243.0987453,-1711254263.3065927,462740.47143342445,62156.58491572723,13923.410331827123,86442140.63875718
2447069.5,1987-10-01,7,1.0199999999999999e+26,577985516.5728666,-4145666064.2742124,-1711240330.7164598,462734.26498764846,62201.06405689018,13941.769916282357,86442140.63875718
2447070.5,1987-10-02,7,1.0199999999999999e+26,578448247.7325567,-4145603840.9708195,-1711226379.7667959,462728.05356284004,62245.54263462749,13960.12939376412,86442140.63875718
2447071.5,1987-10-03,7,1.0199999999999999e+26,578910972.6783326,-4145541573.189131,-1711212410.457708,462721.837159057,62290.02064847799,13978.488764082023,86442140.63875718
2447072.5,1987-10-04,7,1.0199999999999999e+26,579373691.4052153,-4145479260.9297104,-1711198422.7893035,462715.6157763575,62334.498097980446,13996.848027045658,86442140.63875718
2447073.5,1987-10-05,7,1.0199999999999999e+26,579836403.9082257,-4145416904.1931233,-1711184416.7616897,462709.38941479975,62378.97498267355,14015.207182464574,86442140.63875718
2447074.5,1987-10-06,7,1.0199999999999999e+26,580299110.1823852,-4145354502.9799337,-1711170392.3749745,462703.1580744422,62423.45130209593,14033.566230148306,86442140.63875718
2447075.5,1987-10-07,7,1.0199999999999999e+26,580761810.222715,-4145292057.2907076,-1711156349.6292653,462696.9217553431,62467.92705578614,14051.925169906355,86442140.63875718
2447076.5,1987-10-08,7,1.0199999999999999e+26,581224504.0242363,-4145229567.126011,-1711142288.5246706,462690.68045756087,62512.402243282704,14070.2840015482,86442140.63875718
2447077.5,1987-10-09,7,1.0199999999999999e+26,581687191.5819706,-4145167032.4864097,-1711128209.0612984,462684.4341811542,62556.87686412402,14088.642724883279,86442140.63875718
2447078.5,1987-10-10,7,1.0199999999999999e+26,582149872.8909391,-4145104453.372472,-1711114111.239257,462678.1829261816,62601.35091784847,14107.001339721015,86442140.63875718
2447079.5,1987-10-11,7,1.0199999999999999e+26,582612547.9461634,-4145041829.7847633,-1711099995.0586553,462671.9266927018,62645.82440399435,14125.359845870798,86442140.63875718
2447080.5,1987-10-12,7,1.0199999999999999e+26,583075216.742665,-4144979161.723853,-1711085860.5196016,462665.6654807738,62690.29732209989,14143.718243141993,86442140.63875718
2447081.5,1987-10-13,7,1.0199999999999999e+26,583537879.2754655,-4144916449.1903086,-1711071707.6222053,462659.3992904563,62734.76967170325,14162.076531343926,86442140.63875718
2447082.5,1987-10-14,7,1.0199999999999999e+26,584000535.5395865,-4144853692.184699,-1711057536.3665752,462653.12812180846,62779.24145234254,14180.43471028591,86442140.63875718
2447083.5,1987-10-15,7,1.0199999999999999e+26,584463185.5300497,-4144790890.707594,-1711043346.7528212,462646.8519748892,62823.71266355577,14198.792779777224,86442140.63875718
2447084.5,1987-10-16,7,1.0199999999999999e+26,584925829.2418768,-4144728044.759562,-1711029138.7810524,462640.5708497578,62868.18330488092,14217.150739627114,86442140.63875718
2447085.5,1987-10-17,7,1.0199999999999999e+26,585388466.6700898,-4144665154.341174,-1711014912.4513786,462634.2847464733,62912.65337585588,14235.508589644807,86442140.63875718
2447086.5,1987-10-18,7,1.0199999999999999e+26,585851097.8097105,-4144602219.4530005,-1711000667.7639098,462627.99366509524,62957.12287601849,14253.866329639495,86442140.63875718
2447087.5,1987-10-19,7,1.0199999999999999e+26,586313722.6557606,-4144539240.0956125,-1710986404.718756,462621.69760568294,63001.59180490651,14272.223959420346,86442140.63875718
2447088.5,1987-10-20,7,1.0199999999999999e+26,586776341.2032626,-4144476216.269582,-1710972123.3160276,462615.39656829584,63046.060162057634,14290.5814787965,86442140.63875718
2447089.5,1987-10-21,7,1.0199999999999999e+26,587238953.447238,-4144413147.9754796,-1710957823.5558352,462609.09055299417,63090.52794700785,14308.938887576396,86442140.63875718
2447090.5,1987-10-22,7,1.0199999999999999e+26,587701559.3827093,-4144350035.2138786,-1710943505.4382894,462602.77955983597,63134.99515929648,14327.296185569843,86442140.63875718
2447091.5,1987-10-23,7,1.0199999999999999e+26,588164159.0046984,-4144286877.985352,-1710929168.963501,462596.4635888813,63179.46179846083,14345.65337258581,86442140.63875718
2447092.5,1987-10-24,7,1.0199999999999999e+26,588626752.3082278,-4144223676.290473,-1710914814.1315813,462590.1426401899,63223.9278640381,14364.010448433237,86442140.63875718
2447093.5,1987-10-25,7,1.0199999999999999e+26,589089339.2883196,-4144160430.129815,-1710900440.9426413,462583.8167138218,63268.39335556547,14382.367412921036,86442140.63875718
2447094.5,1987-10-26,7,1.0199999999999999e+26,589551919.9399961,-4144097139.503953,-1710886049.3967927,462577.485809837,63312.85827258,14400.724265858089,86442140.63875718
2447095.5,1987-10-27,7,1.0199999999999999e+26,590014494.25828,-4144033804.4134617,-1710871639.4941468,462571.1499282956,63357.322614618686,14419.08100705324,86442140.63875718
2447096.5,1987-10-28,7,1.0199999999999999e+26,590477062.2381936,-4143970424.858916,-1710857211.2348158,462564.8090692576,63401.78638121845,14437.43763631532,86442140.63875718
2447097.5,1987-10-29,7,1.0199999999999999e+26,590939623.8747594,-4143907000.8408914,-1710842764.6189115,462558.46323278314,63446.249571916116,14455.79415345311,86442140.63875718
2447098.5,1987-10-30,7,1.0199999999999999e+26,591402179.163,-4143843532.359964,-1710828299.6465464,462552.11241893255,63490.71218624847,14474.150558275376,86442140.63875718
2447099.5,1987-10-31,7,1.0199999999999999e+26,591864728.0979382,-4143780019.416711,-1710813816.3178325,462545.7566277659,63535.17422375218,14492.506850590844,86442140.63875718
2447100.5,1987-11-01,7,1.0199999999999999e+26,592327270.6745965,-4143716462.011709,-1710799314.6328826,462539.39585934376,63579.63568396387,14510.86303020822,86442140.63875718
2447101.5,1987-11-02,7,1.0199999999999999e+26,592789806.8879977,-4143652860.1455355,-1710784794.5918097,462533.03011372616,63624.09656642008,14529.219096936169,86442140.63875718
2447102.5,1987-11-03,7,1.0199999999999999e+26,593252336.7331649,-4143589213.818769,-1710770256.1947265,462526.65939097374,63668.55687065724,14547.575050583337,86442140.63875718
2447103.5,1987-11-04,7,1.0199999999999999e+26,593714860.2051207,-4143525523.031987,-1710755699.4417462,462520.2836911467,63713.01659621173,14565.930890958327,86442140.63875718
2447104.5,1987-11-05,7,1.0199999999999999e+26,594177377.2988882,-4143461787.7857695,-1710741124.3329823,462513.9030143057,63757.47574261988,14584.286617869722,86442140.63875718
2447105.5,1987-11-06,7,1.0199999999999999e+26,594639888.0094904,-4143398008.080695,-1710726530.8685484,462507.5173605111,63801.934309417884,14602.642231126076,86442140.63875718
2447106.5,1987-11-07,7,1.0199999999999999e+26,595102392.3319502,-4143334183.917344,-1710711919.048558,462501.1267298237,63846.39229614192,14620.997730535899,86442140.63875718
2447107.5,1987-11-08,7,1.0199999999999999e+26,595564890.261291,-4143270315.2962966,-1710697288.8731253,462494.73112230405,63890.84970232803,14639.353115907696,86442140.63875718
2447108.5,1987-11-09,7,1.0199999999999999e+26,596027381.7925359,-4143206402.218133,-1710682640.3423643,462488.3305380127,63935.30652751222,14657.708387049914,86442140.63875718
2447109.5,1987-11-10,7,1.0199999999999999e+26,596489866.9207082,-4143142444.683435,-1710667973.4563894,462481.9249770105,63979.7627712304,14676.063543770984,86442140.63875718
2447110.5,1987-11-11,7,1.0199999999999999e+26,596952345.6408311,-4143078442.692785,-1710653288.215315,462475.5144393583,64024.21843301843,14694.41858587931,86442140.63875718
2447111.5,1987-11-12,7,1.0199999999999999e+26,597414817.9479281,-4143014396.246763,-1710638584.619256,462469.0989251167,64068.673512412046,14712.77351318326,86442140.63875718
2447112.5,1987-11-13,7,1.0199999999999999e+26,597877283.8370224,-4142950305.345954,-1710623862.668327,462462.6784343466,64113.128008946944,14731.128325491174,86442140.63875718
