Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2446249.5,1985-07-03,10,721.9,-215737901.06214267,508222585.98140174,107129107.93157639,-1260917.9634014072,242590.1578219554,271519.13173878036,1208.818092464826,-2843.6330560888673,-598.0826635138335
2446250.5,1985-07-04,10,721.9,-216998214.2508121,508463756.00689846,107400328.17065622,-1259708.0532423395,239751.5747374043,270921.49465717666,1210.988664897076,-2833.542812769946,-597.1925600155515
2446251.5,1985-07-05,10,721.9,-218257316.4490821,508702092.48589283,107670951.2175622,-1258495.9876152817,236923.05628481897,270324.7472453777,1213.1291296058755,-2823.503752708862,-596.3033296552969
2446252.5,1985-07-06,10,721.9,-219515205.51647902,508937605.4574788,107940977.96152316,-1257281.7964497013,234104.55144203585,269728.88861709536,1215.239842134858,-2813.5155537939954,-595.4149985941391
2446253.5,1985-07-07,10,721.9,-220771879.34228164,509170304.909889,108210409.29086867,-1256065.5093217154,231296.00950795444,269133.917860163,1217.3211536525685,-2803.577896016379,-594.5275924305274
2446254.5,1985-07-08,10,721.9,-222027335.84517002,509400200.7808145,108479246.09300342,-1254847.1554584373,228497.38010043916,268539.83403709315,1219.3734110107166,-2793.690461460255,-593.6411362102144
2446255.5,1985-07-09,10,721.9,-223281572.9728786,509627302.95772296,108747489.25438218,-1253626.7637422632,225708.6131542308,267946.636185625,1221.396956801613,-2783.85293429354,-592.755654436007
2446256.5,1985-07-10,10,721.9,-224534588.7018536,509851621.2781743,109015139.6604853,-1252404.3627151044,222929.65891886762,267354.32331926294,1223.392129414787,-2774.065000758164,-591.8711710773417
2446257.5,1985-07-11,10,721.9,-225786381.0369147,510073165.53013444,109282198.19579473,-1251179.9805825613,220160.46795661593,266762.894427805,1225.3592630928129,-2764.326349160344,-590.9877095796974
2446258.5,1985-07-12,10,721.9,-227036948.0109207,510291945.4522872,109548665.7437706,-1249953.6452180436,217400.9911404108,266172.3484778621,1227.2986879863402,-2754.636669860722,-590.1052928738367
2446259.5,1985-07-13,10,721.9,-228286287.68443945,510507970.7343437,109814543.18682824,-1248725.3841668337,214651.17965180633,265582.68441336846,1229.2107302083518,-2744.9956552644594,-589.2239433848914
2446260.5,1985-07-14,10,721.9,-229534398.14542165,510721251.0173502,110079831.40631582,-1247495.2246500987,211910.98497893612,264993.9011560825,1231.0957118876497,-2735.40299981121,-588.3436830412822
